"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.text","Input.id","Input.gold_label","Answer.label.label","Approve","Reject"
"3HXK2V1N5WT6QSQLHYLMU0HOGGT2GS","33JNTVT0YG8BYOKMUV8PJT0VVDU3WJ","Say whether the self-referential statement is true or false","Say whether the self-referential statement is true or false","text, classification, self-reference","$0.13","Wed Dec 27 11:52:26 PST 2023","10","BatchId:5171265;OriginalHitTemplateId:929448123;","86400","259200","Sun Jan 07 11:52:35 PST 2024","","","35USIKEBN4U345N1H6FLYH2NC8D6NY","A9HQ3E0F2AGVO","Approved","Wed Dec 27 13:08:35 PST 2023","Wed Dec 27 13:11:18 PST 2023","Sat Dec 30 13:11:18 PST 2023","Sat Dec 30 13:11:34 PST 2023","","","163","100% (384/384)","100% (384/384)","0% (0/0)","A lime is typically green, and this sentence contains no rhyme.","6","False","True"
"3HXK2V1N5WT6QSQLHYLMU0HOGGT2GS","33JNTVT0YG8BYOKMUV8PJT0VVDU3WJ","Say whether the self-referential statement is true or false","Say whether the self-referential statement is true or false","text, classification, self-reference","$0.13","Wed Dec 27 11:52:26 PST 2023","10","BatchId:5171265;OriginalHitTemplateId:929448123;","86400","259200","Sun Jan 07 11:52:35 PST 2024","","","31Q0U3WYD2TJUYUHVTMF7OPG4IV17N","A3OZ288I9CBLWF","Approved","Wed Dec 27 13:22:46 PST 2023","Wed Dec 27 13:46:15 PST 2023","Sat Dec 30 13:46:15 PST 2023","Sat Dec 30 13:46:34 PST 2023","","","1409","100% (382/382)","100% (382/382)","0% (0/0)","A lime is typically green, and this sentence contains no rhyme.","6","False","False"
"3HXK2V1N5WT6QSQLHYLMU0HOGGT2GS","33JNTVT0YG8BYOKMUV8PJT0VVDU3WJ","Say whether the self-referential statement is true or false","Say whether the self-referential statement is true or false","text, classification, self-reference","$0.13","Wed Dec 27 11:52:26 PST 2023","10","BatchId:5171265;OriginalHitTemplateId:929448123;","86400","259200","Sun Jan 07 11:52:35 PST 2024","","","358UUM7WRCH7N3TYTN1UDF7T8HD7RF","A3I9XLIHPPWPN1","Approved","Wed Dec 27 15:05:31 PST 2023","Wed Dec 27 15:09:25 PST 2023","Sat Dec 30 15:09:25 PST 2023","Sat Dec 30 15:09:34 PST 2023","","","234","100% (379/379)","100% (379/379)","0% (0/0)","A lime is typically green, and this sentence contains no rhyme.","6","False","True"
"3HXK2V1N5WT6QSQLHYLMU0HOGGT2GS","33JNTVT0YG8BYOKMUV8PJT0VVDU3WJ","Say whether the self-referential statement is true or false","Say whether the self-referential statement is true or false","text, classification, self-reference","$0.13","Wed Dec 27 11:52:26 PST 2023","10","BatchId:5171265;OriginalHitTemplateId:929448123;","86400","259200","Sun Jan 07 11:52:35 PST 2024","","","3VW04L3ZL6KLZEL1KZBKWW65BRBXXU","AHT8HA3JRWVGV","Approved","Wed Dec 27 18:15:48 PST 2023","Wed Dec 27 18:33:57 PST 2023","Sat Dec 30 18:33:57 PST 2023","Sat Dec 30 18:34:34 PST 2023","","","1089","100% (379/379)","100% (379/379)","100% (61/61)","A lime is typically green, and this sentence contains no rhyme.","6","False","True"
"3HXK2V1N5WT6QSQLHYLMU0HOGGT2GS","33JNTVT0YG8BYOKMUV8PJT0VVDU3WJ","Say whether the self-referential statement is true or false","Say whether the self-referential statement is true or false","text, classification, self-reference","$0.13","Wed Dec 27 11:52:26 PST 2023","10","BatchId:5171265;OriginalHitTemplateId:929448123;","86400","259200","Sun Jan 07 11:52:35 PST 2024","","","3PB5A5BD08KGYDKKDC7IEBTM6BF7G2","A34M93NJC830DP","Approved","Thu Dec 28 08:49:37 PST 2023","Thu Dec 28 08:49:52 PST 2023","Sun Dec 31 08:49:52 PST 2023","Sun Dec 31 08:50:34 PST 2023","","","15","100% (392/392)","100% (392/392)","100% (328/328)","A lime is typically green, and this sentence contains no rhyme.","6","False","True"
"3HXK2V1N5WT6QSQLHYLMU0HOGGT2GS","33JNTVT0YG8BYOKMUV8PJT0VVDU3WJ","Say whether the self-referential statement is true or false","Say whether the self-referential statement is true or false","text, classification, self-reference","$0.13","Wed Dec 27 11:52:26 PST 2023","10","BatchId:5171265;OriginalHitTemplateId:929448123;","86400","259200","Sun Jan 07 11:52:35 PST 2024","","","39O5D9O8766LGI3S9E89B3WR4QZ3C0","A2V3GBDTA9KEU0","Approved","Fri Dec 29 18:08:45 PST 2023","Fri Dec 29 18:09:03 PST 2023","Mon Jan 01 18:09:03 PST 2024","Mon Jan 01 18:09:34 PST 2024","","","18","100% (396/396)","100% (396/396)","100% (385/385)","A lime is typically green, and this sentence contains no rhyme.","6","False","True"
"3HXK2V1N5WT6QSQLHYLMU0HOGGT2GS","33JNTVT0YG8BYOKMUV8PJT0VVDU3WJ","Say whether the self-referential statement is true or false","Say whether the self-referential statement is true or false","text, classification, self-reference","$0.13","Wed Dec 27 11:52:26 PST 2023","10","BatchId:5171265;OriginalHitTemplateId:929448123;","86400","259200","Sun Jan 07 11:52:35 PST 2024","","","3L4PIM1GQ6UQ2NPZGWRUQSRQD1RRYC","A2HM35CWB7IIFM","Approved","Mon Jan 01 08:05:11 PST 2024","Mon Jan 01 08:05:17 PST 2024","Thu Jan 04 08:05:17 PST 2024","Thu Jan 04 08:05:34 PST 2024","","","6","100% (301/301)","100% (301/301)","100% (301/301)","A lime is typically green, and this sentence contains no rhyme.","6","False","False"
"3HXK2V1N5WT6QSQLHYLMU0HOGGT2GS","33JNTVT0YG8BYOKMUV8PJT0VVDU3WJ","Say whether the self-referential statement is true or false","Say whether the self-referential statement is true or false","text, classification, self-reference","$0.13","Wed Dec 27 11:52:26 PST 2023","10","BatchId:5171265;OriginalHitTemplateId:929448123;","86400","259200","Sun Jan 07 11:52:35 PST 2024","","","3TS1AR6UQ3SAKDOP2S10WQTA6EH7F6","A2TBXASXZIRNNW","Approved","Mon Jan 01 10:27:11 PST 2024","Mon Jan 01 10:29:51 PST 2024","Thu Jan 04 10:29:51 PST 2024","Thu Jan 04 10:30:34 PST 2024","","","160","100% (273/273)","100% (273/273)","100% (273/273)","A lime is typically green, and this sentence contains no rhyme.","6","False","False"
"3HXK2V1N5WT6QSQLHYLMU0HOGGT2GS","33JNTVT0YG8BYOKMUV8PJT0VVDU3WJ","Say whether the self-referential statement is true or false","Say whether the self-referential statement is true or false","text, classification, self-reference","$0.13","Wed Dec 27 11:52:26 PST 2023","10","BatchId:5171265;OriginalHitTemplateId:929448123;","86400","259200","Sun Jan 07 11:52:35 PST 2024","","","32Z9ZLUT1YY1JF7UE462AXRICQYHOE","AZLZA0Q87TJZO","Submitted","Wed Jan 03 12:00:01 PST 2024","Wed Jan 03 12:01:27 PST 2024","Sat Jan 06 12:01:27 PST 2024","","","","86","100% (55/55)","100% (55/55)","100% (55/55)","A lime is typically green, and this sentence contains no rhyme.","6","False","False"
"33KGGVH256VANT3FN4LCD37ER0AX1X","33JNTVT0YG8BYOKMUV8PJT0VVDU3WJ","Say whether the self-referential statement is true or false","Say whether the self-referential statement is true or false","text, classification, self-reference","$0.13","Wed Dec 27 11:52:26 PST 2023","10","BatchId:5171265;OriginalHitTemplateId:929448123;","86400","259200","Sun Jan 07 11:52:35 PST 2024","","","3BDCF01OGA8FZPUMBCUY4GIR6NLYL3","A9HQ3E0F2AGVO","Approved","Wed Dec 27 14:26:58 PST 2023","Wed Dec 27 14:27:45 PST 2023","Sat Dec 30 14:27:45 PST 2023","Sat Dec 30 14:28:34 PST 2023","","","47","100% (384/384)","100% (384/384)","0% (0/0)","This sentence continued past these words first becomes hard to comprehend around the end.","14","False","False"
