text,id,gold_label
The number of words in this sentence is nine.,0,True
"The correct answer if someone asks you whether this sentence contains negations is not ""no"".",1,True
This sentence is written in English and only אנגלית.,2,False
"The last word you will read before the period is actually ""dog"".",3,True
"The first and last words of this sentence are ""The"" and ""respectively"", respectively.",4,True
"<pre style='overflow: scroll; max-height: 300px;'>This sentence
l
o
o
k
s
like a letter
a
n
d
i
t
is a capital E.</pre>",5,True
"A lime is typically green, and this sentence contains a rhyme.",6,True
"The numerical digit symbol ""1"" appears in this sentence exactly 1 plus one times.",7,True
"The penultimate word in this sentence is ""sentence"".",8,False
The color words that this sentence contains are blue and green and also red.,9,True
All of the words in this sentence are spelled correctly with tow eceptions.,10,True
If you added a word here: _ this sentence would be thirteen words.,11,True
"The middle word of this sentence is this: ""this"".",12,True
"To pronounce all of the text in this passage, you need to speak this quoted text out loud twice: ""to pronounce all of the text in this passage, you need to speak this quoted text out loud twice"". ",13,True
This sentence continued past these words first becomes hard to comprehend around the middle.,14,True
The number of syllables this statement has is fourteen.,15,True
"To say this sentence, you need to say ""to say this sentence, you need to say"" exactly once.",16,False
The number of words in this sentence is a prime number.,17,True
This statement contains 0 numerical symbol(s).,18,False
This sentence is grammatically complete without its last word.,19,False
"If every writer was a baker, this sentence would have a dozen words.",20,True
"<pre style='overflow: scroll; max-height: 300px;'>T
h
i
s
s
e
n
t
e
n
c
e
looks like the letter ""L"".</pre>",21,True
"<span class='emoji-bytes' data-emoji-bytes='[240, 159, 142, 136]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 142, 136]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 142, 136]'></span>if a word’s weight is negligible and the weight of balloon emojis is effectively negative, then the right side of this sentence is heavier <span class='emoji-bytes' data-emoji-bytes='[240, 159, 142, 136]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 142, 136]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 142, 136]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 142, 136]'></span>.",22,False
"<span class='emoji-bytes' data-emoji-bytes='[240, 159, 167, 177]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 167, 177]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 167, 177]'></span>if a word’s weight is negligible and the weight of brick emojis is very heavy, then the left side of this sentence is heavier <span class='emoji-bytes' data-emoji-bytes='[240, 159, 167, 177]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 167, 177]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 167, 177]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 167, 177]'></span>.",23,False
in this statement all characters are fully above the text’s baseline.,24,False
